,type,name,folow_to,length_km,area_km²,edge
4063,Река,Липача,река  Пижма,13,0,Пижма
4064,Река,Курнуж,река  Пижма,22,0,Пижма
4065,Река,Луговка,река  Пижма,13,0,Пижма
4066,Река,Икра,река  Пижма,16,0,Пижма
4067,Река,Кокшага,река  Кокшага,13,0,Кокшага
4068,Река,Липовка,река  Шижма,14,0,Шижма
4069,Река,Красная,река  Шижма,18,0,Шижма
4070,Река,Лавра,река  Шижма,15,0,Шижма
4071,Река,Андура  (Ондура),река  Кишкиль  (Белый  Кишкиль),12,0,Кишкиль  (Белый  Кишкиль)
4072,Река,без  названия,река  Кишкиль  (Белый  Кишкиль),11,0,Кишкиль  (Белый  Кишкиль)
4073,Река,Косина,река  Кишкиль  (Белый  Кишкиль),20,0,Кишкиль  (Белый  Кишкиль)
4074,Река,Черный  Кишкиль,река  Кишкиль  (Белый  Кишкиль),10,0,Кишкиль  (Белый  Кишкиль)
4075,Река,Криуша,река  Боровка,14,0,Боровка
4076,Река,Тумана,река  Мурдюг  (Большой  Мурдюг),13,0,Мурдюг  (Большой  Мурдюг)
4077,Река,Чернушка  (Черная),река  Язильница,17,"81,1",Язильница
4078,Ручьи,руч.  Черный,река  Молома,14,0,Молома
4079,Река,Мостовица,река  Мухачиха,11,0,Мухачиха
4080,Река,Мухачиха,река  Дубяна  (Дубянка),14,0,Дубяна  (Дубянка)
4081,Река,Дубяна  (Дубянка),река  Молома,21,0,Молома
4082,Река,Кучеровка,река  Черняница  (Черновица),10,0,Черняница  (Черновица)
4083,Река,Елховка,река  Черняница  (Черновица),18,112,Черняница  (Черновица)
4084,Река,Доровица,река  Черняница  (Черновица),11,0,Черняница  (Черновица)
4085,Река,Черняница  (Черновица),река  Ночная  Черняница  (Северная  Черняница),42,387,Ночная  Черняница  (Северная  Черняница)
4086,Река,Каменка,река  Ночная  Черняница  (Северная  Черняница),13,0,Ночная  Черняница  (Северная  Черняница)
4087,Река,без  названия,река  Ночная  Черняница  (Северная  Черняница),11,0,Ночная  Черняница  (Северная  Черняница)
4088,Река,без  названия,река  Ночная  Черняница  (Северная  Черняница),12,0,Ночная  Черняница  (Северная  Черняница)
4089,Река,Ночная  Черняница  (Северная  Черняница),река  Молома,54,801,Молома
4090,Река,Вочка,река  Молома,28,115,Молома
4091,Река,Говоруха,река  Молома,10,0,Молома
4092,Река,Мостовуха,река  Куринка,11,0,Куринка
4093,Река,Северная  Куринка  (Куринка),река  Куринка,28,151,Куринка
4094,Река,Куринка,река  Молома,41,359,Молома
4095,Река,Спасская,река  Спасска,19,0,Спасска
4096,Река,без  названия,река  Спасска,10,0,Спасска
4097,Река,Спасска,река  Молома,26,218,Молома
4098,Река,Твердая,река  Молома,21,0,Молома
4099,Река,Черная,река  Молома,11,0,Молома
4100,Река,без  названия,река  Молома,13,0,Молома
4101,Река,без  названия,река  Стрельня,17,0,Стрельня
4102,Река,Стрельня,река  Молома,31,270,Молома
4103,Река,Пиксур,река  Кобра  (Западная  Кобра),29,151,Кобра  (Западная  Кобра)
4104,Река,Даровка,река  Кобра  (Западная  Кобра),15,0,Кобра  (Западная  Кобра)
4105,Река,Чернушка,река  Кобра  (Западная  Кобра),22,0,Кобра  (Западная  Кобра)
4106,Река,без  названия,река  Кобра  (Западная  Кобра),14,0,Кобра  (Западная  Кобра)
4107,Река,Кобра  (Западная  Кобра),река  Молома,66,834,Молома
4108,Река,без  названия,река  Черемушка,14,0,Черемушка
4109,Река,Черемушка,река  Молома,21,0,Молома
4110,Река,Осановка  (Северная  Осановка),река  Молома,24,0,Молома
4111,Река,Кленовица,река  Молома,35,138,Молома
4112,Река,Боровица,река  Молома,34,184,Молома
4113,Река,Выдрица,река  Шубрюг,31,119,Шубрюг
4114,Река,Денисовка,река  Шубрюг,11,0,Шубрюг
4115,Река,Гладкая,река  Шубрюг,15,0,Шубрюг
4116,Река,Фомиха,река  Шубрюг  Северный,12,0,Шубрюг  Северный
4117,Река,Шубрюг  Северный,река  Шубрюг,38,261,Шубрюг
4118,Река,Каменка,река  Шубрюг  Полуденный,15,0,Шубрюг  Полуденный
4119,Река,Большая  Белая,река  Шубрюг  Полуденный,11,0,Шубрюг  Полуденный
4120,Река,Шубрюг  Полуденный,река  Шубрюг,25,211,Шубрюг
4121,Река,Шубрюг,река  Молома,45,843,Молома
4122,Река,Черная,река  Молома,34,230,Молома
4123,Река,Рубка  (Большая  Рубка),река  Молома,19,0,Молома
4124,Река,Березовка,река  Молома,10,0,Молома
4125,Река,Полдневая,река  Бабица,28,165,Бабица
4126,Река,Ольховка,река  Бабица,13,0,Бабица
4127,Река,Бабица,река  Вонданка,25,0,Вонданка
4128,Река,Ельцовка,река  Вонданка,13,0,Вонданка
4129,Река,без  названия,река  Северная,12,0,Северная
4130,Река,Северная,река  Вонданка,19,0,Вонданка
4131,Река,Северная,река  Вонданка,11,0,Вонданка
4132,Река,Вонданка,река  Молома,62,740,Молома
4133,Река,Чемелки,река  Молома,12,0,Молома
4134,Река,Ковырза,река  Молома,10,0,Молома
4135,Река,Малая  Хвойка,река  Молома,12,0,Молома
4136,Река,Северная  (Большая  Северная),река  Хвойка,22,0,Хвойка
4137,Река,Середняя,река  Хвойка,17,0,Хвойка
4138,Река,Хвойка,река  Молома,32,251,Молома
4139,Река,Плоская,река  Молома,17,0,Молома
4140,Река,Волгарица,река  Молома,36,219,Молома
4141,Река,без  названия,река  Стрелка,12,0,Стрелка
4142,Река,Стрелка,река  Молома,16,0,Молома
4143,Река,Стрелка,река  Молома,14,0,Молома
4144,Река,Северник,река  Восточник,16,0,Восточник
4145,Река,Полдневая,река  Молома,16,0,Молома
4146,Река,Мамошинка,река  Молома,10,0,Молома
4147,Река,Большая  Речка,река  Кузюг,12,0,Кузюг
4148,Река,Мельничная,река  Кузюг,17,0,Кузюг
4149,Река,Гараница,река  Кузюг,14,0,Кузюг
4150,Река,Боровая,река  Кузюг,10,0,Кузюг
4151,Река,Толстиха,река  Кузюг,16,0,Кузюг
4152,Река,Митрошиха,река  Кузюг,13,0,Кузюг
4153,Река,Рогозина  (Большая  Рогозина),река  Кузюг,16,0,Кузюг
4154,Река,Черная,река  Кузюг,10,0,Кузюг
4155,Река,Кузюг,река  Молома,132,1080,Молома
4156,Река,Чалбун,река  Молома,25,"98,3",Молома
4157,Река,Верлюг  (Большой  Верлюг),река  Молома,23,0,Молома
4158,Река,Березовка,река  Поникаровка,10,0,Поникаровка
4159,Река,Поникаровка,река  Волманга,15,0,Волманга
4160,Река,Мутница,река  Волманга,23,0,Волманга
4161,Река,Песьянка,река  Волманга,12,0,Волманга
4162,Река,Заячья,река  Волманга,10,0,Волманга
4163,Река,Чернуша,река  Волманга,11,0,Волманга
4164,Река,Стеновая,река  Волманга,16,0,Волманга
4165,Река,Рамитница,река  Белая,12,0,Белая
4166,Река,Кривуша,река  Белая,11,0,Белая
4167,Река,Белая,река  Волманга,40,316,Волманга
4168,Река,без  названия,река  Волманга,10,0,Волманга
4169,Река,Даровая,река  Волманга,21,0,Волманга
4170,Река,Осиновка  (Полдневая  Осиновка),река  Волманга,13,0,Волманга
4171,Река,Хмелевка,река  Волманга,10,0,Волманга
4172,Река,Волманга,река  Молома,95,1300,Молома
4173,Река,Холоватка,река  Молома,11,0,Молома
4174,Река,Большая  Каска,река  Молома,27,156,Молома
4175,Река,Большая  Речка,река  Маромица,12,0,Маромица
4176,Река,без  названия,река  Маромица,10,0,Маромица
4177,Река,Маромица,река  Молома,34,268,Молома
4178,Река,Керас,река  Кая  (Кай),18,0,Кая  (Кай)
4179,Река,Малый  Корас,река  Кая  (Кай),11,0,Кая  (Кай)
4180,Река,Кая  (Кай),река  Молома,37,277,Молома
4181,Река,Вохомка,река  Паломица,12,0,Паломица
4182,Река,Рукавишный  Лог,река  Паломица,10,0,Паломица
4183,Река,Паломица,река  Молома,49,262,Молома
4184,Река,Яхреньгская  Былина,река  Былина  (Верховская  Былина),11,0,Былина  (Верховская  Былина)
4185,Река,Былина  (Верховская  Былина),река  Молома,40,293,Молома
4186,Река,Ертач,река  Молома,36,112,Молома
